"epoch","olive-shadow-2 - r^2","olive-shadow-2 - r^2__MIN","olive-shadow-2 - r^2__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","0.00013589859008789062","0.00013589859008789062","0.00013589859008789062","100","100","100"
"1","0.0011057257652282715","0.0011057257652282715","0.0011057257652282715","201","201","201"
"2","0.006269216537475586","0.006269216537475586","0.006269216537475586","302","302","302"
"3","0.01832139492034912","0.01832139492034912","0.01832139492034912","403","403","403"
"4","0.03969365358352661","0.03969365358352661","0.03969365358352661","504","504","504"
"5","0.06666994094848633","0.06666994094848633","0.06666994094848633","605","605","605"
"6","0.10240012407302856","0.10240012407302856","0.10240012407302856","706","706","706"
"7","0.1308962106704712","0.1308962106704712","0.1308962106704712","807","807","807"
"8","0.15600723028182983","0.15600723028182983","0.15600723028182983","908","908","908"
"9","0.17812728881835938","0.17812728881835938","0.17812728881835938","1009","1009","1009"
"10","0.19433540105819702","0.19433540105819702","0.19433540105819702","1110","1110","1110"
"11","0.20516878366470337","0.20516878366470337","0.20516878366470337","1211","1211","1211"
"12","0.21504712104797363","0.21504712104797363","0.21504712104797363","1312","1312","1312"
"13","0.22192078828811646","0.22192078828811646","0.22192078828811646","1413","1413","1413"
"14","0.22857904434204102","0.22857904434204102","0.22857904434204102","1514","1514","1514"
"15","0.23706328868865967","0.23706328868865967","0.23706328868865967","1615","1615","1615"
"16","0.23963558673858643","0.23963558673858643","0.23963558673858643","1716","1716","1716"
"17","0.24949121475219727","0.24949121475219727","0.24949121475219727","1817","1817","1817"
"18","0.2516881227493286","0.2516881227493286","0.2516881227493286","1918","1918","1918"
"19","0.2638480067253113","0.2638480067253113","0.2638480067253113","2019","2019","2019"
"20","0.27256715297698975","0.27256715297698975","0.27256715297698975","2120","2120","2120"
"21","0.27303165197372437","0.27303165197372437","0.27303165197372437","2221","2221","2221"
"22","0.28291934728622437","0.28291934728622437","0.28291934728622437","2322","2322","2322"
"23","0.2806720733642578","0.2806720733642578","0.2806720733642578","2423","2423","2423"
"24","0.28067547082901","0.28067547082901","0.28067547082901","2524","2524","2524"
"25","0.28961682319641113","0.28961682319641113","0.28961682319641113","2625","2625","2625"
"26","0.30030810832977295","0.30030810832977295","0.30030810832977295","2726","2726","2726"
"27","0.30144816637039185","0.30144816637039185","0.30144816637039185","2827","2827","2827"
"28","0.318075954914093","0.318075954914093","0.318075954914093","2928","2928","2928"
"29","0.3222195506095886","0.3222195506095886","0.3222195506095886","3029","3029","3029"
"30","0.30430519580841064","0.30430519580841064","0.30430519580841064","3130","3130","3130"
"31","0.3194773197174072","0.3194773197174072","0.3194773197174072","3231","3231","3231"
"32","0.328183114528656","0.328183114528656","0.328183114528656","3332","3332","3332"
"33","0.3377186059951782","0.3377186059951782","0.3377186059951782","3433","3433","3433"
"34","0.3389394283294678","0.3389394283294678","0.3389394283294678","3534","3534","3534"
"35","0.33931851387023926","0.33931851387023926","0.33931851387023926","3635","3635","3635"
"36","0.3326622247695923","0.3326622247695923","0.3326622247695923","3736","3736","3736"
"37","0.34675562381744385","0.34675562381744385","0.34675562381744385","3837","3837","3837"
"38","0.3418043851852417","0.3418043851852417","0.3418043851852417","3938","3938","3938"
"39","0.33675897121429443","0.33675897121429443","0.33675897121429443","4039","4039","4039"
"40","0.350421667098999","0.350421667098999","0.350421667098999","4140","4140","4140"
"41","0.34770655632019043","0.34770655632019043","0.34770655632019043","4241","4241","4241"
"42","0.34480786323547363","0.34480786323547363","0.34480786323547363","4342","4342","4342"
"43","0.3530299663543701","0.3530299663543701","0.3530299663543701","4443","4443","4443"
"44","0.3559228181838989","0.3559228181838989","0.3559228181838989","4544","4544","4544"
"45","0.37086737155914307","0.37086737155914307","0.37086737155914307","4645","4645","4645"
"46","0.37373781204223633","0.37373781204223633","0.37373781204223633","4746","4746","4746"
"47","0.3780525326728821","0.3780525326728821","0.3780525326728821","4847","4847","4847"
"48","0.37966156005859375","0.37966156005859375","0.37966156005859375","4948","4948","4948"
"49","0.38784176111221313","0.38784176111221313","0.38784176111221313","5049","5049","5049"
"50","0.39613884687423706","0.39613884687423706","0.39613884687423706","5150","5150","5150"
"51","0.4004213213920593","0.4004213213920593","0.4004213213920593","5251","5251","5251"
"52","0.40376681089401245","0.40376681089401245","0.40376681089401245","5352","5352","5352"
"53","0.4011700749397278","0.4011700749397278","0.4011700749397278","5453","5453","5453"
"54","0.4065176248550415","0.4065176248550415","0.4065176248550415","5554","5554","5554"
"55","0.40824830532073975","0.40824830532073975","0.40824830532073975","5655","5655","5655"
"56","0.41590416431427","0.41590416431427","0.41590416431427","5756","5756","5756"
"57","0.425189733505249","0.425189733505249","0.425189733505249","5857","5857","5857"
"58","0.41762393712997437","0.41762393712997437","0.41762393712997437","5958","5958","5958"
"59","0.4194536805152893","0.4194536805152893","0.4194536805152893","6059","6059","6059"
"60","0.4114674925804138","0.4114674925804138","0.4114674925804138","6160","6160","6160"
"61","0.4276527762413025","0.4276527762413025","0.4276527762413025","6261","6261","6261"
"62","0.4142908453941345","0.4142908453941345","0.4142908453941345","6362","6362","6362"
"63","0.4270501136779785","0.4270501136779785","0.4270501136779785","6463","6463","6463"
"64","0.43475186824798584","0.43475186824798584","0.43475186824798584","6564","6564","6564"
"65","0.439014732837677","0.439014732837677","0.439014732837677","6665","6665","6665"
"66","0.43167614936828613","0.43167614936828613","0.43167614936828613","6766","6766","6766"
