"epoch","olive-shadow-2 - pearson","olive-shadow-2 - pearson__MIN","olive-shadow-2 - pearson__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","0.012419400736689568","0.012419400736689568","0.012419400736689568","100","100","100"
"1","0.05123963579535484","0.05123963579535484","0.05123963579535484","201","201","201"
"2","0.09245707094669342","0.09245707094669342","0.09245707094669342","302","302","302"
"3","0.1426975280046463","0.1426975280046463","0.1426975280046463","403","403","403"
"4","0.2060239315032959","0.2060239315032959","0.2060239315032959","504","504","504"
"5","0.2773950695991516","0.2773950695991516","0.2773950695991516","605","605","605"
"6","0.3299402594566345","0.3299402594566345","0.3299402594566345","706","706","706"
"7","0.3744814395904541","0.3744814395904541","0.3744814395904541","807","807","807"
"8","0.4097708463668823","0.4097708463668823","0.4097708463668823","908","908","908"
"9","0.4286816716194153","0.4286816716194153","0.4286816716194153","1009","1009","1009"
"10","0.44484204053878784","0.44484204053878784","0.44484204053878784","1110","1110","1110"
"11","0.4547168016433716","0.4547168016433716","0.4547168016433716","1211","1211","1211"
"12","0.4650548994541168","0.4650548994541168","0.4650548994541168","1312","1312","1312"
"13","0.4754364490509033","0.4754364490509033","0.4754364490509033","1413","1413","1413"
"14","0.4828251600265503","0.4828251600265503","0.4828251600265503","1514","1514","1514"
"15","0.4875120222568512","0.4875120222568512","0.4875120222568512","1615","1615","1615"
"16","0.4913921654224396","0.4913921654224396","0.4913921654224396","1716","1716","1716"
"17","0.5021362900733948","0.5021362900733948","0.5021362900733948","1817","1817","1817"
"18","0.5065127611160278","0.5065127611160278","0.5065127611160278","1918","1918","1918"
"19","0.5150550007820129","0.5150550007820129","0.5150550007820129","2019","2019","2019"
"20","0.5237452387809753","0.5237452387809753","0.5237452387809753","2120","2120","2120"
"21","0.5303816199302673","0.5303816199302673","0.5303816199302673","2221","2221","2221"
"22","0.5335454940795898","0.5335454940795898","0.5335454940795898","2322","2322","2322"
"23","0.5356744527816772","0.5356744527816772","0.5356744527816772","2423","2423","2423"
"24","0.5438997745513916","0.5438997745513916","0.5438997745513916","2524","2524","2524"
"25","0.5476524233818054","0.5476524233818054","0.5476524233818054","2625","2625","2625"
"26","0.5528352856636047","0.5528352856636047","0.5528352856636047","2726","2726","2726"
"27","0.5603100061416626","0.5603100061416626","0.5603100061416626","2827","2827","2827"
"28","0.5682413578033447","0.5682413578033447","0.5682413578033447","2928","2928","2928"
"29","0.5701950788497925","0.5701950788497925","0.5701950788497925","3029","3029","3029"
"30","0.571009635925293","0.571009635925293","0.571009635925293","3130","3130","3130"
"31","0.5784029364585876","0.5784029364585876","0.5784029364585876","3231","3231","3231"
"32","0.5837979316711426","0.5837979316711426","0.5837979316711426","3332","3332","3332"
"33","0.588463306427002","0.588463306427002","0.588463306427002","3433","3433","3433"
"34","0.5897148847579956","0.5897148847579956","0.5897148847579956","3534","3534","3534"
"35","0.5964817404747009","0.5964817404747009","0.5964817404747009","3635","3635","3635"
"36","0.5961369276046753","0.5961369276046753","0.5961369276046753","3736","3736","3736"
"37","0.5996147394180298","0.5996147394180298","0.5996147394180298","3837","3837","3837"
"38","0.6023457050323486","0.6023457050323486","0.6023457050323486","3938","3938","3938"
"39","0.6064854860305786","0.6064854860305786","0.6064854860305786","4039","4039","4039"
"40","0.6066612005233765","0.6066612005233765","0.6066612005233765","4140","4140","4140"
"41","0.6090388298034668","0.6090388298034668","0.6090388298034668","4241","4241","4241"
"42","0.6145304441452026","0.6145304441452026","0.6145304441452026","4342","4342","4342"
"43","0.6154670119285583","0.6154670119285583","0.6154670119285583","4443","4443","4443"
"44","0.6204814910888672","0.6204814910888672","0.6204814910888672","4544","4544","4544"
"45","0.6264544129371643","0.6264544129371643","0.6264544129371643","4645","4645","4645"
"46","0.6281254887580872","0.6281254887580872","0.6281254887580872","4746","4746","4746"
"47","0.6283861398696899","0.6283861398696899","0.6283861398696899","4847","4847","4847"
"48","0.6331055164337158","0.6331055164337158","0.6331055164337158","4948","4948","4948"
"49","0.6457514762878418","0.6457514762878418","0.6457514762878418","5049","5049","5049"
"50","0.6440184712409973","0.6440184712409973","0.6440184712409973","5150","5150","5150"
"51","0.64810711145401","0.64810711145401","0.64810711145401","5251","5251","5251"
"52","0.6532650589942932","0.6532650589942932","0.6532650589942932","5352","5352","5352"
"53","0.6501097679138184","0.6501097679138184","0.6501097679138184","5453","5453","5453"
"54","0.6563249826431274","0.6563249826431274","0.6563249826431274","5554","5554","5554"
"55","0.6516549587249756","0.6516549587249756","0.6516549587249756","5655","5655","5655"
"56","0.6558777689933777","0.6558777689933777","0.6558777689933777","5756","5756","5756"
"57","0.6611779928207397","0.6611779928207397","0.6611779928207397","5857","5857","5857"
"58","0.6631559133529663","0.6631559133529663","0.6631559133529663","5958","5958","5958"
"59","0.6605098247528076","0.6605098247528076","0.6605098247528076","6059","6059","6059"
"60","0.6624711751937866","0.6624711751937866","0.6624711751937866","6160","6160","6160"
"61","0.665198802947998","0.665198802947998","0.665198802947998","6261","6261","6261"
"62","0.6532109975814819","0.6532109975814819","0.6532109975814819","6362","6362","6362"
"63","0.6651169657707214","0.6651169657707214","0.6651169657707214","6463","6463","6463"
"64","0.6700941324234009","0.6700941324234009","0.6700941324234009","6564","6564","6564"
"65","0.6718776226043701","0.6718776226043701","0.6718776226043701","6665","6665","6665"
"66","0.6695177555084229","0.6695177555084229","0.6695177555084229","6766","6766","6766"
"67","0.6712353229522705","0.6712353229522705","0.6712353229522705","6867","6867","6867"
"68","0.6725037097930908","0.6725037097930908","0.6725037097930908","6968","6968","6968"
"69","0.6780670881271362","0.6780670881271362","0.6780670881271362","7069","7069","7069"
"70","0.6717128157615662","0.6717128157615662","0.6717128157615662","7170","7170","7170"
"71","0.6747620105743408","0.6747620105743408","0.6747620105743408","7271","7271","7271"
"72","0.6758283376693726","0.6758283376693726","0.6758283376693726","7372","7372","7372"
"73","0.6767041683197021","0.6767041683197021","0.6767041683197021","7473","7473","7473"
"74","0.6807520389556885","0.6807520389556885","0.6807520389556885","7574","7574","7574"
"75","0.6747031211853027","0.6747031211853027","0.6747031211853027","7675","7675","7675"
"76","0.6723412871360779","0.6723412871360779","0.6723412871360779","7776","7776","7776"
"77","0.6719926595687866","0.6719926595687866","0.6719926595687866","7877","7877","7877"
"78","0.6800045967102051","0.6800045967102051","0.6800045967102051","7978","7978","7978"
"79","0.685570478439331","0.685570478439331","0.685570478439331","8079","8079","8079"
"80","0.6785837411880493","0.6785837411880493","0.6785837411880493","8180","8180","8180"
"81","0.6851541996002197","0.6851541996002197","0.6851541996002197","8281","8281","8281"
"82","0.6854084730148315","0.6854084730148315","0.6854084730148315","8382","8382","8382"
"83","0.6869718432426453","0.6869718432426453","0.6869718432426453","8483","8483","8483"
"84","0.6839636564254761","0.6839636564254761","0.6839636564254761","8584","8584","8584"
"85","0.6859056949615479","0.6859056949615479","0.6859056949615479","8685","8685","8685"
"86","0.6821185350418091","0.6821185350418091","0.6821185350418091","8786","8786","8786"
"87","0.6862764358520508","0.6862764358520508","0.6862764358520508","8887","8887","8887"
"88","0.6921895146369934","0.6921895146369934","0.6921895146369934","8988","8988","8988"
"89","0.6823264956474304","0.6823264956474304","0.6823264956474304","9089","9089","9089"
"90","0.6911669969558716","0.6911669969558716","0.6911669969558716","9190","9190","9190"
"91","0.6892467141151428","0.6892467141151428","0.6892467141151428","9291","9291","9291"
"92","0.6894744634628296","0.6894744634628296","0.6894744634628296","9392","9392","9392"
"93","0.6934869289398193","0.6934869289398193","0.6934869289398193","9493","9493","9493"
"94","0.6913295388221741","0.6913295388221741","0.6913295388221741","9594","9594","9594"
"95","0.6933726072311401","0.6933726072311401","0.6933726072311401","9695","9695","9695"
"96","0.6936566829681396","0.6936566829681396","0.6936566829681396","9796","9796","9796"
"97","0.6950835585594177","0.6950835585594177","0.6950835585594177","9897","9897","9897"
"98","0.6961647272109985","0.6961647272109985","0.6961647272109985","9998","9998","9998"
"99","0.6945412158966064","0.6945412158966064","0.6945412158966064","10099","10099","10099"
"100","0.6825641393661499","0.6825641393661499","0.6825641393661499","10200","10200","10200"
"101","0.6972182989120483","0.6972182989120483","0.6972182989120483","10301","10301","10301"
"102","0.6910521984100342","0.6910521984100342","0.6910521984100342","10402","10402","10402"
"103","0.6888941526412964","0.6888941526412964","0.6888941526412964","10503","10503","10503"
"104","0.6989468336105347","0.6989468336105347","0.6989468336105347","10604","10604","10604"
"105","0.695952296257019","0.695952296257019","0.695952296257019","10705","10705","10705"
"106","0.6995445489883423","0.6995445489883423","0.6995445489883423","10806","10806","10806"
"107","0.6989213228225708","0.6989213228225708","0.6989213228225708","10907","10907","10907"
"108","0.6961722373962402","0.6961722373962402","0.6961722373962402","11008","11008","11008"
"109","0.693335771560669","0.693335771560669","0.693335771560669","11109","11109","11109"
"110","0.6980530023574829","0.6980530023574829","0.6980530023574829","11210","11210","11210"
"111","0.6996022462844849","0.6996022462844849","0.6996022462844849","11311","11311","11311"
"112","0.7008724808692932","0.7008724808692932","0.7008724808692932","11412","11412","11412"
"113","0.6995938420295715","0.6995938420295715","0.6995938420295715","11513","11513","11513"
"114","0.7022906541824341","0.7022906541824341","0.7022906541824341","11614","11614","11614"
"115","0.6947980523109436","0.6947980523109436","0.6947980523109436","11715","11715","11715"
"116","0.7021885514259338","0.7021885514259338","0.7021885514259338","11816","11816","11816"
"117","0.7015317678451538","0.7015317678451538","0.7015317678451538","11917","11917","11917"
"118","0.7045588493347168","0.7045588493347168","0.7045588493347168","12018","12018","12018"
"119","0.7001525163650513","0.7001525163650513","0.7001525163650513","12119","12119","12119"
"120","0.70293128490448","0.70293128490448","0.70293128490448","12220","12220","12220"
"121","0.7047800421714783","0.7047800421714783","0.7047800421714783","12321","12321","12321"
"122","0.7061166167259216","0.7061166167259216","0.7061166167259216","12422","12422","12422"
"123","0.7045341730117798","0.7045341730117798","0.7045341730117798","12523","12523","12523"
"124","0.706132173538208","0.706132173538208","0.706132173538208","12624","12624","12624"
"125","0.7069676518440247","0.7069676518440247","0.7069676518440247","12725","12725","12725"
"126","0.7082593441009521","0.7082593441009521","0.7082593441009521","12826","12826","12826"
"127","0.7055085897445679","0.7055085897445679","0.7055085897445679","12927","12927","12927"
"128","0.70551598072052","0.70551598072052","0.70551598072052","13028","13028","13028"
"129","0.7088611125946045","0.7088611125946045","0.7088611125946045","13129","13129","13129"
"130","0.7098349332809448","0.7098349332809448","0.7098349332809448","13230","13230","13230"
"131","0.7053194046020508","0.7053194046020508","0.7053194046020508","13331","13331","13331"
"132","0.7069368362426758","0.7069368362426758","0.7069368362426758","13432","13432","13432"
"133","0.707097053527832","0.707097053527832","0.707097053527832","13533","13533","13533"
"134","0.705872654914856","0.705872654914856","0.705872654914856","13634","13634","13634"
"135","0.707919716835022","0.707919716835022","0.707919716835022","13735","13735","13735"
"136","0.6991469860076904","0.6991469860076904","0.6991469860076904","13836","13836","13836"
"137","0.7082520127296448","0.7082520127296448","0.7082520127296448","13937","13937","13937"
"138","0.6985379457473755","0.6985379457473755","0.6985379457473755","14038","14038","14038"
"139","0.6932461857795715","0.6932461857795715","0.6932461857795715","14139","14139","14139"
"140","0.6976062059402466","0.6976062059402466","0.6976062059402466","14240","14240","14240"
"141","0.7038211822509766","0.7038211822509766","0.7038211822509766","14341","14341","14341"
"142","0.7026588916778564","0.7026588916778564","0.7026588916778564","14442","14442","14442"
"143","0.6950966119766235","0.6950966119766235","0.6950966119766235","14543","14543","14543"
"144","0.7031390070915222","0.7031390070915222","0.7031390070915222","14644","14644","14644"
"145","0.6983134746551514","0.6983134746551514","0.6983134746551514","14745","14745","14745"
"146","0.7077940702438354","0.7077940702438354","0.7077940702438354","14846","14846","14846"
"147","0.7031282782554626","0.7031282782554626","0.7031282782554626","14947","14947","14947"
"148","0.7046833634376526","0.7046833634376526","0.7046833634376526","15048","15048","15048"
"149","0.7059686183929443","0.7059686183929443","0.7059686183929443","15149","15149","15149"
"150","0.7075262665748596","0.7075262665748596","0.7075262665748596","15250","15250","15250"
"151","0.7017088532447815","0.7017088532447815","0.7017088532447815","15351","15351","15351"
"152","0.7033103108406067","0.7033103108406067","0.7033103108406067","15452","15452","15452"
"153","0.7134032249450684","0.7134032249450684","0.7134032249450684","15553","15553","15553"
"154","0.710736095905304","0.710736095905304","0.710736095905304","15654","15654","15654"
"155","0.7070213556289673","0.7070213556289673","0.7070213556289673","15755","15755","15755"
"156","0.7141189575195312","0.7141189575195312","0.7141189575195312","15856","15856","15856"
"157","0.7104334235191345","0.7104334235191345","0.7104334235191345","15957","15957","15957"
"158","0.7094110250473022","0.7094110250473022","0.7094110250473022","16058","16058","16058"
"159","0.7147625088691711","0.7147625088691711","0.7147625088691711","16159","16159","16159"
"160","0.7114604711532593","0.7114604711532593","0.7114604711532593","16260","16260","16260"
"161","0.7153854370117188","0.7153854370117188","0.7153854370117188","16361","16361","16361"
"162","0.7112155556678772","0.7112155556678772","0.7112155556678772","16462","16462","16462"
"163","0.716987133026123","0.716987133026123","0.716987133026123","16563","16563","16563"
"164","0.7125246524810791","0.7125246524810791","0.7125246524810791","16664","16664","16664"
"165","0.7138208150863647","0.7138208150863647","0.7138208150863647","16765","16765","16765"
"166","0.716594934463501","0.716594934463501","0.716594934463501","16866","16866","16866"
"167","0.7151623368263245","0.7151623368263245","0.7151623368263245","16967","16967","16967"
"168","0.7149036526679993","0.7149036526679993","0.7149036526679993","17068","17068","17068"
"169","0.7097185254096985","0.7097185254096985","0.7097185254096985","17169","17169","17169"
"170","0.7193130850791931","0.7193130850791931","0.7193130850791931","17270","17270","17270"
"171","0.7185136079788208","0.7185136079788208","0.7185136079788208","17371","17371","17371"
"172","0.7186842560768127","0.7186842560768127","0.7186842560768127","17472","17472","17472"
"173","0.7171446681022644","0.7171446681022644","0.7171446681022644","17573","17573","17573"
"174","0.7179303169250488","0.7179303169250488","0.7179303169250488","17674","17674","17674"
"175","0.7215331196784973","0.7215331196784973","0.7215331196784973","17775","17775","17775"
"176","0.7187714576721191","0.7187714576721191","0.7187714576721191","17876","17876","17876"
"177","0.7199987173080444","0.7199987173080444","0.7199987173080444","17977","17977","17977"
"178","0.7214682102203369","0.7214682102203369","0.7214682102203369","18078","18078","18078"
"179","0.7220978736877441","0.7220978736877441","0.7220978736877441","18179","18179","18179"
"180","0.7217908501625061","0.7217908501625061","0.7217908501625061","18280","18280","18280"
"181","0.7223408222198486","0.7223408222198486","0.7223408222198486","18381","18381","18381"
