"epoch","olive-shadow-2 - spearman","olive-shadow-2 - spearman__MIN","olive-shadow-2 - spearman__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","-0.011376159930412785","-0.011376159930412785","-0.011376159930412785","100","100","100"
"1","-0.018318535532560326","-0.018318535532560326","-0.018318535532560326","201","201","201"
"2","0.0012966730568590675","0.0012966730568590675","0.0012966730568590675","302","302","302"
"3","0.039015318088452204","0.039015318088452204","0.039015318088452204","403","403","403"
"4","0.05894822685060226","0.05894822685060226","0.05894822685060226","504","504","504"
"5","0.06447065798186669","0.06447065798186669","0.06447065798186669","605","605","605"
"6","0.059726222774511895","0.059726222774511895","0.059726222774511895","706","706","706"
"7","0.06536579756195066","0.06536579756195066","0.06536579756195066","807","807","807"
"8","0.06676539859675625","0.06676539859675625","0.06676539859675625","908","908","908"
"9","0.07704527786323719","0.07704527786323719","0.07704527786323719","1009","1009","1009"
"10","0.08360617571097746","0.08360617571097746","0.08360617571097746","1110","1110","1110"
"11","0.08552680733389546","0.08552680733389546","0.08552680733389546","1211","1211","1211"
"12","0.08637532207222208","0.08637532207222208","0.08637532207222208","1312","1312","1312"
"13","0.09225104754357877","0.09225104754357877","0.09225104754357877","1413","1413","1413"
"14","0.09267576086100841","0.09267576086100841","0.09267576086100841","1514","1514","1514"
"15","0.0914550400644203","0.0914550400644203","0.0914550400644203","1615","1615","1615"
"16","0.09332089317972336","0.09332089317972336","0.09332089317972336","1716","1716","1716"
"17","0.09456956193861635","0.09456956193861635","0.09456956193861635","1817","1817","1817"
"18","0.09671411027070255","0.09671411027070255","0.09671411027070255","1918","1918","1918"
"19","0.09523900683848809","0.09523900683848809","0.09523900683848809","2019","2019","2019"
"20","0.09602363889733177","0.09602363889733177","0.09602363889733177","2120","2120","2120"
"21","0.10027221577612179","0.10027221577612179","0.10027221577612179","2221","2221","2221"
"22","0.10033228758396373","0.10033228758396373","0.10033228758396373","2322","2322","2322"
"23","0.09805547709905775","0.09805547709905775","0.09805547709905775","2423","2423","2423"
"24","0.10096858717363627","0.10096858717363627","0.10096858717363627","2524","2524","2524"
"25","0.1008608293253081","0.1008608293253081","0.1008608293253081","2625","2625","2625"
"26","0.09994238274422507","0.09994238274422507","0.09994238274422507","2726","2726","2726"
"27","0.10487471931716759","0.10487471931716759","0.10487471931716759","2827","2827","2827"
"28","0.10689665257690398","0.10689665257690398","0.10689665257690398","2928","2928","2928"
"29","0.10918115916808493","0.10918115916808493","0.10918115916808493","3029","3029","3029"
"30","0.09984463049768591","0.09984463049768591","0.09984463049768591","3130","3130","3130"
"31","0.10686290636978528","0.10686290636978528","0.10686290636978528","3231","3231","3231"
"32","0.11075604792037054","0.11075604792037054","0.11075604792037054","3332","3332","3332"
"33","0.11379212631434528","0.11379212631434528","0.11379212631434528","3433","3433","3433"
"34","0.11026987141759124","0.11026987141759124","0.11026987141759124","3534","3534","3534"
"35","0.11598835983543102","0.11598835983543102","0.11598835983543102","3635","3635","3635"
"36","0.11599688956666433","0.11599688956666433","0.11599688956666433","3736","3736","3736"
"37","0.11704789994411023","0.11704789994411023","0.11704789994411023","3837","3837","3837"
"38","0.11629923240616202","0.11629923240616202","0.11629923240616202","3938","3938","3938"
"39","0.12055609561387272","0.12055609561387272","0.12055609561387272","4039","4039","4039"
"40","0.11923173823382148","0.11923173823382148","0.11923173823382148","4140","4140","4140"
"41","0.11551281442326852","0.11551281442326852","0.11551281442326852","4241","4241","4241"
"42","0.11979979385103318","0.11979979385103318","0.11979979385103318","4342","4342","4342"
"43","0.12214877502192946","0.12214877502192946","0.12214877502192946","4443","4443","4443"
"44","0.11988243020238276","0.11988243020238276","0.11988243020238276","4544","4544","4544"
"45","0.12359232962691392","0.12359232962691392","0.12359232962691392","4645","4645","4645"
"46","0.12401683006752598","0.12401683006752598","0.12401683006752598","4746","4746","4746"
"47","0.12223517270691453","0.12223517270691453","0.12223517270691453","4847","4847","4847"
"48","0.12362940499185439","0.12362940499185439","0.12362940499185439","4948","4948","4948"
"49","0.12431513566533182","0.12431513566533182","0.12431513566533182","5049","5049","5049"
"50","0.11981417390837601","0.11981417390837601","0.11981417390837601","5150","5150","5150"
"51","0.12529537045214464","0.12529537045214464","0.12529537045214464","5251","5251","5251"
"52","0.12490419712626101","0.12490419712626101","0.12490419712626101","5352","5352","5352"
"53","0.1281474601093209","0.1281474601093209","0.1281474601093209","5453","5453","5453"
"54","0.12987349734791384","0.12987349734791384","0.12987349734791384","5554","5554","5554"
"55","0.12752625784560426","0.12752625784560426","0.12752625784560426","5655","5655","5655"
"56","0.12556177428550683","0.12556177428550683","0.12556177428550683","5756","5756","5756"
"57","0.13106278067287905","0.13106278067287905","0.13106278067287905","5857","5857","5857"
"58","0.12893529717890484","0.12893529717890484","0.12893529717890484","5958","5958","5958"
"59","0.13056900413065484","0.13056900413065484","0.13056900413065484","6059","6059","6059"
"60","0.12610143480867242","0.12610143480867242","0.12610143480867242","6160","6160","6160"
"61","0.12731429117929666","0.12731429117929666","0.12731429117929666","6261","6261","6261"
"62","0.12938974448893364","0.12938974448893364","0.12938974448893364","6362","6362","6362"
"63","0.12760637085001986","0.12760637085001986","0.12760637085001986","6463","6463","6463"
"64","0.13159499797068122","0.13159499797068122","0.13159499797068122","6564","6564","6564"
"65","0.13246371342258617","0.13246371342258617","0.13246371342258617","6665","6665","6665"
"66","0.1301755116690736","0.1301755116690736","0.1301755116690736","6766","6766","6766"
"67","0.13088123868675838","0.13088123868675838","0.13088123868675838","6867","6867","6867"
"68","0.13132886056381973","0.13132886056381973","0.13132886056381973","6968","6968","6968"
"69","0.13131558286739506","0.13131558286739506","0.13131558286739506","7069","7069","7069"
"70","0.13434198757554378","0.13434198757554378","0.13434198757554378","7170","7170","7170"
"71","0.13112124302276823","0.13112124302276823","0.13112124302276823","7271","7271","7271"
"72","0.13412591173355426","0.13412591173355426","0.13412591173355426","7372","7372","7372"
"73","0.13476765569599974","0.13476765569599974","0.13476765569599974","7473","7473","7473"
"74","0.13583896698251688","0.13583896698251688","0.13583896698251688","7574","7574","7574"
"75","0.13439102801568856","0.13439102801568856","0.13439102801568856","7675","7675","7675"
"76","0.13145262011693748","0.13145262011693748","0.13145262011693748","7776","7776","7776"
"77","0.1334827945750182","0.1334827945750182","0.1334827945750182","7877","7877","7877"
"78","0.13885904536673982","0.13885904536673982","0.13885904536673982","7978","7978","7978"
"79","0.1352090747063823","0.1352090747063823","0.1352090747063823","8079","8079","8079"
"80","0.13616952249637013","0.13616952249637013","0.13616952249637013","8180","8180","8180"
"81","0.13392860687859945","0.13392860687859945","0.13392860687859945","8281","8281","8281"
"82","0.1382120196257981","0.1382120196257981","0.1382120196257981","8382","8382","8382"
"83","0.13719908678878384","0.13719908678878384","0.13719908678878384","8483","8483","8483"
"84","0.1392249306515186","0.1392249306515186","0.1392249306515186","8584","8584","8584"
"85","0.13957165500772178","0.13957165500772178","0.13957165500772178","8685","8685","8685"
"86","0.13894379477295124","0.13894379477295124","0.13894379477295124","8786","8786","8786"
"87","0.13531858946300254","0.13531858946300254","0.13531858946300254","8887","8887","8887"
"88","0.1384049029323183","0.1384049029323183","0.1384049029323183","8988","8988","8988"
"89","0.13967287066959153","0.13967287066959153","0.13967287066959153","9089","9089","9089"
"90","0.13999099150993696","0.13999099150993696","0.13999099150993696","9190","9190","9190"
"91","0.13772809848096312","0.13772809848096312","0.13772809848096312","9291","9291","9291"
"92","0.1377277629542096","0.1377277629542096","0.1377277629542096","9392","9392","9392"
"93","0.13603222526013806","0.13603222526013806","0.13603222526013806","9493","9493","9493"
"94","0.1357965617572845","0.1357965617572845","0.1357965617572845","9594","9594","9594"
"95","0.14089119676525863","0.14089119676525863","0.14089119676525863","9695","9695","9695"
"96","0.14046073300915804","0.14046073300915804","0.14046073300915804","9796","9796","9796"
"97","0.13912447950891058","0.13912447950891058","0.13912447950891058","9897","9897","9897"
"98","0.1389002189862026","0.1389002189862026","0.1389002189862026","9998","9998","9998"
"99","0.14111906418068543","0.14111906418068543","0.14111906418068543","10099","10099","10099"
"100","0.14227265760327445","0.14227265760327445","0.14227265760327445","10200","10200","10200"
"101","0.1377347139730592","0.1377347139730592","0.1377347139730592","10301","10301","10301"
"102","0.1393061032790006","0.1393061032790006","0.1393061032790006","10402","10402","10402"
"103","0.14000823795373374","0.14000823795373374","0.14000823795373374","10503","10503","10503"
"104","0.1412590986866291","0.1412590986866291","0.1412590986866291","10604","10604","10604"
"105","0.13561692848227452","0.13561692848227452","0.13561692848227452","10705","10705","10705"
"106","0.1405976311581052","0.1405976311581052","0.1405976311581052","10806","10806","10806"
"107","0.14300648135497915","0.14300648135497915","0.14300648135497915","10907","10907","10907"
"108","0.13683401265114675","0.13683401265114675","0.13683401265114675","11008","11008","11008"
"109","0.14009294766476404","0.14009294766476404","0.14009294766476404","11109","11109","11109"
"110","0.13571665967467778","0.13571665967467778","0.13571665967467778","11210","11210","11210"
"111","0.13971529465875596","0.13971529465875596","0.13971529465875596","11311","11311","11311"
"112","0.1409915338135438","0.1409915338135438","0.1409915338135438","11412","11412","11412"
"113","0.14191819868941233","0.14191819868941233","0.14191819868941233","11513","11513","11513"
"114","0.14159407240419902","0.14159407240419902","0.14159407240419902","11614","11614","11614"
"115","0.14201835566458282","0.14201835566458282","0.14201835566458282","11715","11715","11715"
"116","0.14499248194718026","0.14499248194718026","0.14499248194718026","11816","11816","11816"
"117","0.14198290066979513","0.14198290066979513","0.14198290066979513","11917","11917","11917"
"118","0.14427546488130125","0.14427546488130125","0.14427546488130125","12018","12018","12018"
"119","0.14156126119705645","0.14156126119705645","0.14156126119705645","12119","12119","12119"
"120","0.1439813294892058","0.1439813294892058","0.1439813294892058","12220","12220","12220"
"121","0.14557605096554566","0.14557605096554566","0.14557605096554566","12321","12321","12321"
"122","0.1409594683949298","0.1409594683949298","0.1409594683949298","12422","12422","12422"
"123","0.14240907289163188","0.14240907289163188","0.14240907289163188","12523","12523","12523"
"124","0.1431668188625838","0.1431668188625838","0.1431668188625838","12624","12624","12624"
"125","0.14533396391290238","0.14533396391290238","0.14533396391290238","12725","12725","12725"
"126","0.1436772548599805","0.1436772548599805","0.1436772548599805","12826","12826","12826"
"127","0.14399516021944858","0.14399516021944858","0.14399516021944858","12927","12927","12927"
"128","0.14410977075578202","0.14410977075578202","0.14410977075578202","13028","13028","13028"
"129","0.14564441098462466","0.14564441098462466","0.14564441098462466","13129","13129","13129"
"130","0.1450558050959697","0.1450558050959697","0.1450558050959697","13230","13230","13230"
"131","0.14316329183940488","0.14316329183940488","0.14316329183940488","13331","13331","13331"
"132","0.1465138777820486","0.1465138777820486","0.1465138777820486","13432","13432","13432"
"133","0.14297785665630974","0.14297785665630974","0.14297785665630974","13533","13533","13533"
"134","0.14283997671199247","0.14283997671199247","0.14283997671199247","13634","13634","13634"
"135","0.14705374511229152","0.14705374511229152","0.14705374511229152","13735","13735","13735"
"136","0.1440074660871332","0.1440074660871332","0.1440074660871332","13836","13836","13836"
"137","0.14335940680768147","0.14335940680768147","0.14335940680768147","13937","13937","13937"
"138","0.14234333012780392","0.14234333012780392","0.14234333012780392","14038","14038","14038"
"139","0.13781014399197147","0.13781014399197147","0.13781014399197147","14139","14139","14139"
"140","0.13772556073214645","0.13772556073214645","0.13772556073214645","14240","14240","14240"
"141","0.13777827125065403","0.13777827125065403","0.13777827125065403","14341","14341","14341"
"142","0.12559807440700985","0.12559807440700985","0.12559807440700985","14442","14442","14442"
"143","0.11623684221794305","0.11623684221794305","0.11623684221794305","14543","14543","14543"
"144","0.13985394902800088","0.13985394902800088","0.13985394902800088","14644","14644","14644"
"145","0.14577241910360267","0.14577241910360267","0.14577241910360267","14745","14745","14745"
"146","0.1432219879099228","0.1432219879099228","0.1432219879099228","14846","14846","14846"
"147","0.1362676161487741","0.1362676161487741","0.1362676161487741","14947","14947","14947"
"148","0.14371126289732422","0.14371126289732422","0.14371126289732422","15048","15048","15048"
"149","0.14121389235699094","0.14121389235699094","0.14121389235699094","15149","15149","15149"
"150","0.14538141723352874","0.14538141723352874","0.14538141723352874","15250","15250","15250"
"151","0.1428680719420906","0.1428680719420906","0.1428680719420906","15351","15351","15351"
"152","0.14493687393949464","0.14493687393949464","0.14493687393949464","15452","15452","15452"
"153","0.14470065567158286","0.14470065567158286","0.14470065567158286","15553","15553","15553"
"154","0.1366616194727976","0.1366616194727976","0.1366616194727976","15654","15654","15654"
"155","0.1438605919973504","0.1438605919973504","0.1438605919973504","15755","15755","15755"
"156","0.14492537846905476","0.14492537846905476","0.14492537846905476","15856","15856","15856"
"157","0.1423721633931609","0.1423721633931609","0.1423721633931609","15957","15957","15957"
"158","0.1456091550229083","0.1456091550229083","0.1456091550229083","16058","16058","16058"
"159","0.1460658361251624","0.1460658361251624","0.1460658361251624","16159","16159","16159"
"160","0.145269806976789","0.145269806976789","0.145269806976789","16260","16260","16260"
"161","0.14927105240805658","0.14927105240805658","0.14927105240805658","16361","16361","16361"
"162","0.14465850586396664","0.14465850586396664","0.14465850586396664","16462","16462","16462"
"163","0.14865930611229505","0.14865930611229505","0.14865930611229505","16563","16563","16563"
"164","0.14596445353412318","0.14596445353412318","0.14596445353412318","16664","16664","16664"
"165","0.14555926720465504","0.14555926720465504","0.14555926720465504","16765","16765","16765"
"166","0.1457977706310786","0.1457977706310786","0.1457977706310786","16866","16866","16866"
"167","0.14184691730451804","0.14184691730451804","0.14184691730451804","16967","16967","16967"
"168","0.14502499765615476","0.14502499765615476","0.14502499765615476","17068","17068","17068"
"169","0.14491737449707695","0.14491737449707695","0.14491737449707695","17169","17169","17169"
"170","0.14790382396666724","0.14790382396666724","0.14790382396666724","17270","17270","17270"
"171","0.15249313183487467","0.15249313183487467","0.15249313183487467","17371","17371","17371"
"172","0.15297096998379156","0.15297096998379156","0.15297096998379156","17472","17472","17472"
"173","0.14904156151589834","0.14904156151589834","0.14904156151589834","17573","17573","17573"
"174","0.1511370807896819","0.1511370807896819","0.1511370807896819","17674","17674","17674"
"175","0.15554497473492424","0.15554497473492424","0.15554497473492424","17775","17775","17775"
"176","0.15165986221003205","0.15165986221003205","0.15165986221003205","17876","17876","17876"
"177","0.14886718171096816","0.14886718171096816","0.14886718171096816","17977","17977","17977"
"178","0.15319774355107435","0.15319774355107435","0.15319774355107435","18078","18078","18078"
"179","0.1550534739727504","0.1550534739727504","0.1550534739727504","18179","18179","18179"
"180","0.1533841325239135","0.1533841325239135","0.1533841325239135","18280","18280","18280"
"181","0.15372502640257116","0.15372502640257116","0.15372502640257116","18381","18381","18381"
"182","0.15126894330080357","0.15126894330080357","0.15126894330080357","18482","18482","18482"
"183","0.1555806002904035","0.1555806002904035","0.1555806002904035","18583","18583","18583"
"184","0.1537738434939553","0.1537738434939553","0.1537738434939553","18684","18684","18684"
"185","0.15039035994113714","0.15039035994113714","0.15039035994113714","18785","18785","18785"
"186","0.14558640040661636","0.14558640040661636","0.14558640040661636","18886","18886","18886"
"187","0.1532507832625039","0.1532507832625039","0.1532507832625039","18987","18987","18987"
"188","0.15458657433694856","0.15458657433694856","0.15458657433694856","19088","19088","19088"
"189","0.1541765471967748","0.1541765471967748","0.1541765471967748","19189","19189","19189"
"190","0.15196350783755166","0.15196350783755166","0.15196350783755166","19290","19290","19290"
"191","0.1494624971831047","0.1494624971831047","0.1494624971831047","19391","19391","19391"
"192","0.1509729536420084","0.1509729536420084","0.1509729536420084","19492","19492","19492"
"193","0.15097766424577097","0.15097766424577097","0.15097766424577097","19593","19593","19593"
"194","0.15334273600059073","0.15334273600059073","0.15334273600059073","19694","19694","19694"
"195","0.1496383797777461","0.1496383797777461","0.1496383797777461","19795","19795","19795"
"196","0.15291419932029596","0.15291419932029596","0.15291419932029596","19896","19896","19896"
