"epoch","olive-shadow-2 - val_loss","olive-shadow-2 - val_loss__MIN","olive-shadow-2 - val_loss__MAX","olive-shadow-2 - _step","olive-shadow-2 - _step__MIN","olive-shadow-2 - _step__MAX"
"0","118.57450906853927","118.57450906853927","118.57450906853927","100","100","100"
"1","118.45841136731599","118.45841136731599","118.45841136731599","201","201","201"
"2","117.84498435572574","117.84498435572574","117.84498435572574","302","302","302"
"3","116.41598189504523","116.41598189504523","116.41598189504523","403","403","403"
"4","113.88116776315789","113.88116776315789","113.88116776315789","504","504","504"
"5","110.6780552111174","110.6780552111174","110.6780552111174","605","605","605"
"6","106.4387725026984","106.4387725026984","106.4387725026984","706","706","706"
"7","103.0606016861765","103.0606016861765","103.0606016861765","807","807","807"
"8","100.08804120515522","100.08804120515522","100.08804120515522","908","908","908"
"9","97.46953743382504","97.46953743382504","97.46953743382504","1009","1009","1009"
"10","95.54837337293122","95.54837337293122","95.54837337293122","1110","1110","1110"
"11","94.26363934968647","94.26363934968647","94.26363934968647","1211","1211","1211"
"12","93.09247167486893","93.09247167486893","93.09247167486893","1312","1312","1312"
"13","92.2764334427683","92.2764334427683","92.2764334427683","1413","1413","1413"
"14","91.4861408032869","91.4861408032869","91.4861408032869","1514","1514","1514"
"15","90.48248351247688","90.48248351247688","90.48248351247688","1615","1615","1615"
"16","90.18265312596371","90.18265312596371","90.18265312596371","1716","1716","1716"
"17","89.01074740761204","89.01074740761204","89.01074740761204","1817","1817","1817"
"18","88.75270702964382","88.75270702964382","88.75270702964382","1918","1918","1918"
"19","87.30839638960988","87.30839638960988","87.30839638960988","2019","2019","2019"
"20","86.27091397737202","86.27091397737202","86.27091397737202","2120","2120","2120"
"21","86.21537861071135","86.21537861071135","86.21537861071135","2221","2221","2221"
"22","85.04656099018298","85.04656099018298","85.04656099018298","2322","2322","2322"
"23","85.30794966848273","85.30794966848273","85.30794966848273","2423","2423","2423"
"24","85.31222333406147","85.31222333406147","85.31222333406147","2524","2524","2524"
"25","84.25630549380654","84.25630549380654","84.25630549380654","2625","2625","2625"
"26","82.98222632157176","82.98222632157176","82.98222632157176","2726","2726","2726"
"27","82.85050382112202","82.85050382112202","82.85050382112202","2827","2827","2827"
"28","80.87900944759971","80.87900944759971","80.87900944759971","2928","2928","2928"
"29","80.38631579750462","80.38631579750462","80.38631579750462","3029","3029","3029"
"30","82.5100282367907","82.5100282367907","82.5100282367907","3130","3130","3130"
"31","80.7116749412135","80.7116749412135","80.7116749412135","3231","3231","3231"
