link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
0,2.33869,48.85181,2.33847,48.85181,2.33858,48.85181,4,50.4,480.0,8.33,16.2,3,0,5.392,4.749
1,2.33874,48.85242,2.33872,48.85229,2.33873,48.85235,3,52.4,480.0,8.33,14.9,4,311,7.59,9.015
2,2.33872,48.85229,2.33874,48.85242,2.33873,48.85235,3,24.0,960.0,8.33,14.9,5,311,2.828,3.053
3,2.33994,48.852,2.33986,48.85181,2.3399,48.85191,4,59.7,960.0,8.33,22.3,6,0,4.678,5.751
4,2.33986,48.85181,2.33909,48.85152,2.33948,48.85167,4,66.7,480.0,8.33,64.9,5,0,4.851,5.667
5,2.34264,48.85031,2.34258,48.85032,2.34261,48.85031,4,47.5,480.0,8.33,8.3,6,0,5.923,6.278
6,2.34258,48.85032,2.33999,48.84995,2.34128,48.85013,4,47.5,480.0,8.33,194.8,5,0,5.923,6.278
7,2.34151,48.85112,2.34273,48.85065,2.34212,48.85089,5,2.0,240.0,5.56,103.4,3,0,0.054,0.083
8,2.33847,48.85181,2.3384,48.85172,2.33844,48.85177,3,128.3,480.0,8.33,10.8,2,311,9.05,10.805
9,2.33806,48.85065,2.33842,48.84991,2.33824,48.85028,4,32.7,480.0,8.33,87.1,4,0,5.027,6.088
10,2.33899,48.84992,2.33952,48.85097,2.33926,48.85044,4,0.0,480.0,8.33,123.2,3,0,0.121,0.329
11,2.33909,48.85152,2.33892,48.85173,2.33901,48.85163,4,46.8,480.0,8.33,27.2,4,0,4.562,4.641
12,2.33841,48.8498,2.33794,48.84984,2.33817,48.84982,4,25.3,480.0,8.33,34.9,4,0,8.664,6.153
13,2.33871,48.85003,2.33869,48.85181,2.3387,48.85092,4,18.4,480.0,8.33,198.0,4,0,2.795,3.206
14,2.34277,48.84843,2.34278,48.84845,2.34278,48.84844,4,49.2,480.0,8.33,8.3,3,0,4.086,5.088
15,2.34278,48.84845,2.34287,48.8486,2.34283,48.84852,4,49.2,480.0,8.33,18.5,4,0,4.086,5.088
16,2.34287,48.8486,2.34291,48.84867,2.34289,48.84864,4,48.4,480.0,8.33,8.3,4,0,4.196,5.113
17,2.33774,48.85273,2.33797,48.85374,2.33786,48.85323,5,6.0,240.0,5.56,114.8,3,0,0.292,0.519
18,2.29881,48.85059,2.29845,48.85048,2.29863,48.85054,4,6.2,480.0,8.33,29.7,2,0,1.538,1.847
19,2.29845,48.85048,2.29738,48.8503,2.29792,48.85039,4,3.6,480.0,8.33,81.0,4,0,1.398,1.709
20,2.29701,48.85069,2.29738,48.8503,2.2972,48.8505,4,1.5,480.0,8.33,51.5,2,0,0.508,0.493
21,2.30091,48.83296,2.30279,48.8354,2.30185,48.83418,4,13.1,480.0,8.33,304.0,2,0,3.84,5.08
22,2.30279,48.8354,2.30091,48.83296,2.30185,48.83418,4,26.1,480.0,8.33,304.0,3,0,5.384,5.086
23,2.33863,48.90186,2.33778,48.90115,2.33821,48.9015,4,3.1,600.0,4.17,99.8,2,0,0.143,0.276
24,2.33742,48.90115,2.3361,48.90193,2.33676,48.90154,4,0.0,600.0,8.33,130.4,2,0,0.0,0.0
25,2.3361,48.90193,2.33742,48.90115,2.33676,48.90154,4,0.0,600.0,8.33,130.4,2,0,0.109,0.252
26,2.33114,48.90106,2.33131,48.90103,2.33123,48.90105,4,1.0,480.0,8.33,12.8,2,0,0.025,0.168
27,2.33131,48.90103,2.33176,48.90107,2.33153,48.90105,4,1.0,480.0,8.33,33.7,4,0,0.025,0.168
28,2.22625,48.85362,2.22634,48.85308,2.2263,48.85335,2,36.7,800.0,13.89,60.2,3,318,2.557,3.481
29,2.35768,48.88047,2.3581,48.88127,2.35789,48.88087,2,121.5,800.0,8.33,94.2,2,312,9.86,11.943
30,2.3581,48.88127,2.35899,48.88278,2.35855,48.88203,2,131.5,800.0,8.33,180.8,2,312,10.11,11.991
31,2.3364,48.89898,2.33629,48.89915,2.33634,48.89906,3,16.2,480.0,8.33,21.5,4,326,5.684,5.626
32,2.33629,48.89915,2.3364,48.89898,2.33634,48.89906,3,8.2,480.0,8.33,21.5,2,326,1.142,1.328
33,2.33629,48.89915,2.33565,48.90022,2.33597,48.89968,3,10.7,480.0,8.33,127.9,2,326,4.574,4.547
